id,barcode,name,price
1,SKIRT/SQ.PANTS,212000100001,P 200.00
2,L.PANTS/TOKONG,212000100001,P 200.00
3,SALE L.SHORT,212000200001,P 99.00
4,CANDY PANTS,212000300001,P 180.00
5,L.PANTS/SHORTS,212000400001,P 300.00
6,SKIRT,212000500001,P 250.00
7,L.SHORT/SKIRT,212000600001,P 320.00
8,L.SHORTS/TOKONG,212001100002,P 280.00
9,SLACKS,212001300001,P 200.00
10,BABY BRA,212001400001,P 60.00
11,L.SHORT,212001500001,P 60.00
12,PANTY,212001600001,P 50.00
13,SWIMSUIT/PANTY,212001700002,P 40.00
14,SWIMSUIT/BRA,212001800001,P 60.00
15,SOCKS,212001900001,P 50.00
16,PANTY/TUBE 3=100,212002100001,P 100.00
17,SOCKS 3=100,212002100001,P 100.00
18,TUBE BRA,212002200001,P 75.00
19,L.PANTS,212002500001,P 350.00
20,PANTY 2=50,212002600001,P 25.00
21,L.PANTS,212002800001,P 380.00
22,BRA STRAP,212002900001,P 20.00
23,BRA STRAP,212003000001,P 10.00
24,K. SOCKS,212003000002,P 35.00
25,BELT,212003300001,P 300.00
26,L.SHORT,212003200001,P 65.00
27,S.BRA,212003700001,P 100.00
28,ECO BAG (M),212003900001,P  8.00
29,ECO BAG,212003800001,P 10.00
30,BOYLEG 6 IN 1,212004200001,P 200.00
31,BELT,212004600001,P 100.00
32,BELT,212004700001,P 150.00
33,BELT,212004800002,P 50.00
34,BELT,212004900001,P 75.00
35,ARMBAND/TATTOO,212005000001,P 75.00
36,KID'S SOCKS,212005000001,P 75.00
37,L.JOGGER/PANTS,212006000001,P 150.00
38,JOGGING PANTS,212006100002,P 250.00
39,KNEESOCKS,212006200002,P 100.00
40,BELT,212006300001,P 200.00
41,KID's CAP,212006400001,P 100.00
42,JOGGING PANTS,212006600001,P 200.00
43,K. UMBRELLA,212006700001,P 60.00
44,UMBRELLA,212006800001,P 100.00
45,UMBRELLA,212006900001,P 120.00
46,UMBRELLA/RAINCOAT,212007000001,P 80.00
47,RAINCOAT,212007100001,P 350.00
48,UMBRELLA@Z,212007200001,P 150.00
49,UMBRELLA@Z,212007300001,P 200.00
50,UMBRELLA,212007400001,P 250.00
51,BLOUSE/TERNO,213000100001,P 80.00
52,L.SHORTS,213000200001,P 80.00
53,SWIMSUITE,213000300001,P 100.00
54,L.SHORT/JOGGER,213000400001,P 100.00
55,DUSTER,213000500001,P 120.00
56,BLOUSE/DRESS,213000500001,P 120.00
57,BLOUSEL/CARDIGAN,213000600001,P 180.00
58,COVER UP,213000700001,P 200.00
59,BLOUSE,213000800001,P 220.00
60,BLOUSE(ACID),213000900002,P 230.00
61,TERNO /DRESS,213001000001,P 250.00
62,L.PULLOVER,213001100001,P 280.00
63,L.SANDO,213001300001,P  50.00
64,SPORTSWEAR/SET,213001500001,P 200.00
65,SWIMSUIT,213001500001,P 200.00
66,TUBE,213002000001,P 60.00
67,DRESS/KIMONO,213002200001,P 300.00
68,DRESS,213002300002,P 350.00
69,DRESS,213002400001,P 400.00
70,JUMPSUIT,213002400001,P 400.00
71,TERNO/BLOUSE,213002500001,P 450.00
72,DRESS,213002600001,P 500.00
73,TERNO/DRESS,213002700001,P 550.00
74,L. JACKET,213002800001,P 250.00
75,L. JACKET,213002900001,P 300.00
76,L.JUMPER,213003000002,P 299.00
77,BRALLETTE/BRA,213003100001,P 50.00
78,BLOUSE/CROPTOP,213003300001,P 150.00
79,BLOUSE,213003900001,P 320.00
80,BLOUSE,213004900001,P 380.00
81,DRESS,213004900001,P 380.00
82,RAIN JACKET,213005000001,P 600.00
83,DRESS/TERNO,213005000001,P 600.00
84,BARGAIN 3=100,213008800001,P 100.00
85,BARGAIN 2=50,213008900001,P 50.00
86,ECO BAG,214000000001,P 35.00
87,WALLET/BAG,214000100001,P 50.00
88,BAG,214000200001,P 100.00
89,TOTE BAG,214000300001,P 120.00
90,SLING BAG,214000400001,P 150.00
91,BAG/WALLET,214000500001,P 180.00
92,BAG,214000600001,P 200.00
93,BAG,214000700001,P 220.00
94,BAG,214000800002,P 250.00
95,BAG,214000900001,P 280.00
96,BAG@K,214001000001,P 300.00
97,BAG@K,214001100001,P 320.00
98,BAG 3IN1,214001200001,P 350.00
99,K. PILLOW/K.RND. CHAIR,214001200001,P 350.00
100,A.BIRD/CANDLE,214001300001,P 15.00
101,BAG/WALLET,214001400001,P 230.00
102,BAG/WALLET,214001500002,P 75.00
103,SALE BAG,214001600001,P 400.00
104,BAG/WALLET,214001700001,P 750.00
105,BEDSHEET,214001800001,P 800.00
106,KIDDIE FAN,214002100001,P 120.00
107,COIN PURSE,214002600001,P 35.00
108,BACKPACK@K,214002700001,P 380.00
109,ART. FLOWER,214002800001,P 200.00
110,KIDS BAG,214002900001,"P 1,459.00"
111,FLOWER VASE,214003000001,P 2000.00
112,LOPTOP TABLE W/O,214100000001,P 299.00
113,CURTAIN,214100100001,P 400.00
114,CASE W/LIGHTER,214100200001,P 399.00
115,CANDLE,214100300001,P 20.00
